Label,NumberSequences,Task,Realtime,%cpu,cpus
train-2,492800,TRIMGALORE,17618,342.8,8
train-2,246400,TRIMGALORE,13025,299.3,8
train-2,123200,TRIMGALORE,9720,279.5,8
train-2,3941000,TRIMGALORE,83259,418.9,8
train-2,61600,TRIMGALORE,9283,238.9,8
train-2,7881800,TRIMGALORE,155371,432.3,8
train-2,985400,TRIMGALORE,27874,364.8,8
test,63053586,TRIMGALORE,1169295,443.5,8
test,63053586,FASTQC,586110,102.3,6
train-2,31526800,BWA_MEM,978326,727.5,8
train-2,15763400,BWA_MEM,464133,765.3,8
train-2,1970600,BWA_MEM,67836,660.1,8
train-2,492800,BWA_MEM,22068,527.3,8
train-2,246400,BWA_MEM,14479,422.7,8
train-2,123200,BWA_MEM,10534,319.6,8
train-2,61600,BWA_MEM,8598,232.9,8
train-2,3941000,BWA_MEM,121808,733.9,8
train-2,7881800,BWA_MEM,235213,758.3,8
train-2,985400,BWA_MEM,37473,602.7,8
test,63053586,BWA_MEM,1809909,786.4,8
train-2,31526800,SORT_BAM,231100,187.2,6
train-2,15763400,SORT_BAM,103586,179.2,6
train-2,1970600,SORT_BAM,13378,177.8,6
train-2,492800,SORT_BAM,3488,173.9,6
train-2,246400,SORT_BAM,1920,161.2,6
train-2,123200,SORT_BAM,1051,150.9,6
train-2,61600,SORT_BAM,678,123.4,6
train-2,3941000,SORT_BAM,26381,178.4,6
train-2,7881800,SORT_BAM,52207,179.0,6
train-2,985400,SORT_BAM,6832,176.1,6
test,63053586,SORT_BAM,483835,189.8,6
train-2,15763400,MERGED_LIB_BAM,507374,124.7,6
train-2,123200,MERGED_LIB_BAM,15073,198.6,6
train-2,246400,MERGED_LIB_BAM,17364,191.5,6
train-2,3941000,MERGED_LIB_BAM,134223,129.0,6
train-2,31526800,MERGED_LIB_BAM,1001978,137.9,6
train-2,61600,MERGED_LIB_BAM,12997,162.2,6
train-2,1970600,MERGED_LIB_BAM,74677,144.1,6
train-2,492800,MERGED_LIB_BAM,26991,188.8,6
train-2,7881800,MERGED_LIB_BAM,261176,121.5,6
train-2,985400,MERGED_LIB_BAM,44234,161.8,6
test,63053586,MERGED_LIB_BAM,1983132,140.4,6
train-2,15763400,MERGED_LIB_BAM_FILTER,66445,147.3,6
train-2,123200,MERGED_LIB_BAM_FILTER,770,101.4,6
train-2,246400,MERGED_LIB_BAM_FILTER,1298,116.3,6
train-2,3941000,MERGED_LIB_BAM_FILTER,16856,146.4,6
train-2,31526800,MERGED_LIB_BAM_FILTER,125982,151.6,6
train-2,61600,MERGED_LIB_BAM_FILTER,419,100.6,6
train-2,1970600,MERGED_LIB_BAM_FILTER,8560,144.4,6
train-2,492800,MERGED_LIB_BAM_FILTER,2263,135.5,6
